LAT,LNG,COURSE,SPEED,ELEV,HDOP,FIX,UTC_DATE,UTC_TIME,SENSOR_ADD,NDRE,NDVI,distance,LAI_VI,CCC_VI,RE,NIR,R,Air_T,RH,CT,I_PAR,R_PAR,PRES,CH1,CH2
"30.24746667","-92.35011667","137.7","0.7","7.7","0.9",GPS,"80623","203845","1","0.339","0.81","29.18","1.791","2.091","19.265","39.037","4.1","37.57","38.55","30.3","1550.27","44.01","101.38","0.266519","0.146029"
"30.24746667","-92.35011167","137.7","1","7.9","0.9",GPS,"80623","203846","1","0.349","0.808","29.562","1.915","2.248","19.155","39.649","4.213","37.51","38.51","30.22","1446.63","38.87","101.38","0.26636","0.145914"
"30.24746833","-92.350105","137.7","1.1","8.2","0.9",GPS,"80623","203847","1","0.245","0.677","37.851","0.912","0.939","20.467","33.736","6.504","37.45","38.67","31.09","1488.53","47.45","101.38","0.26622","0.14579"
"30.24746833","-92.3501","137.7","1.2","8.5","0.9",GPS,"80623","203848","1","0.26","0.743","29.907","1.018","1.098","20.262","34.493","5.097","37.42","38.69","31.4","1553.07","92.11","101.38","0.266077","0.145667"
"30.24746667","-92.350095","137.7","0.9","8.7","0.9",GPS,"80623","203849","1","0.319","0.804","30.686","1.557","1.796","19.502","37.809","4.105","37.37","38.57","30.02","1718.83","56.21","101.38","0.265928","0.145539"
"30.24746667","-92.35009167","137.7","1","8.8","0.9",GPS,"80623","203850","1","0.281","0.711","44.855","1.189","1.301","19.979","35.63","6.018","37.31","38.6","31.29","1965","84.21","101.38","0.265781","0.145431"
"30.24746667","-92.35008667","137.7","1","8.9","0.9",GPS,"80623","203851","1","0.319","0.768","37.629","1.554","1.788","19.505","37.795","4.968","37.25","38.69","30.37","1887.56","64.37","101.38","0.265631","0.145317"
"30.247465","-92.35008333","137.7","0.7","8.9","0.9",GPS,"80623","203852","1","0.301","0.754","36.159","1.369","1.546","19.727","36.736","5.149","37.2","38.56","30.28","1897.64","62.11","101.38","0.265501","0.145195"
"30.247465","-92.35007833","137.7","1","9.2","0.9",GPS,"80623","203853","1","0.278","0.726","35.523","1.158","1.267","20.027","35.428","5.623","37.17","38.32","30.57","1766.55","54.82","101.38","0.26536","0.145087"
"30.247465","-92.35007333","137.7","0.9","9.3","0.9",GPS,"80623","203854","1","0.204","0.577","41.118","0.669","0.609","21.048","31.824","8.542","37.15","38.09","31.82","1786.1","82.86","101.38","0.265235","0.144959"
